"date","open","high","low","close"
2013-07-31,8144,8170,8079,8079
2013-08-01,8064,8112,8037,8083
2013-08-02,8103,8170,8082,8098
2013-08-05,8095,8137,8064,8132
2013-08-06,8120,8120,8026,8043
2013-08-07,7938,7962,7873,7873
2013-08-08,7880,7913,7874,7874
2013-08-09,7880,7906,7831,7853
2013-08-12,7852,7902,7850,7884
2013-08-13,7904,7974,7904,7971
2013-08-14,7960,7961,7888,7927
2013-08-15,7852,7878,7805,7858
2013-08-16,7803,7943,7800,7916
2013-08-19,7888,7903,7854,7888
2013-08-20,7852,7920,7801,7805
2013-08-22,7707,7775,7672,7753
2013-08-23,7780,7869,7780,7844
2013-08-26,7856,7900,7849,7884
2013-08-27,7859,7877,7816,7822
2013-08-28,7710,7806,7710,7806
2013-08-29,7830,7922,7816,7917
2013-08-30,7906,8003,7906,7993
2013-09-02,7992,8039,7981,8031
2013-09-03,8062,8089,8047,8079
2013-09-04,8028,8091,8028,8088
2013-09-05,8089,8155,8089,8147
2013-09-06,8148,8178,8140,8163
2013-09-09,8162,8202,8120,8181
2013-09-10,8200,8233,8155,8191
2013-09-11,8185,8200,8131,8189
2013-09-12,8181,8217,8164,8194
2013-09-13,8189,8215,8146,8147
2013-09-14,8157,8178,8147,8163
2013-09-16,8211,8259,8197,8249
2013-09-17,8222,8242,8209,8241
2013-09-18,8260,8267,8200,8201
2013-09-23,8188,8290,8188,8287
2013-09-24,8287,8307,8265,8306
2013-09-25,8285,8285,8250,8259
2013-09-26,8252,8267,8193,8210
2013-09-27,8210,8232,8208,8214
2013-09-30,8192,8192,8133,8164
2013-10-01,8175,8208,8175,8188
2013-10-02,8211,8211,8185,8185
2013-10-03,8180,8394,8180,8382
2013-10-04,8373,8388,8356,8372
2013-10-07,8372,8372,8312,8335
2013-10-08,8335,8378,8308,8374
2013-10-09,8333,8378,8319,8339
2013-10-11,8448,8450,8355,8359
2013-10-14,8348,8349,8272,8295
2013-10-15,8350,8385,8338,8357
2013-10-16,8355,8372,8336,8345
2013-10-17,8400,8433,8373,8379
2013-10-18,8379,8435,8379,8425
2013-10-21,8426,8450,8410,8414
2013-10-22,8386,8428,8377,8420
2013-10-23,8437,8445,8360,8375
2013-10-24,8361,8413,8348,8406
2013-10-25,8379,8385,8322,8346
2013-10-28,8362,8450,8355,8402
2013-10-29,8388,8435,8374,8416
2013-10-30,8448,8461,8420,8450
2013-10-31,8446,8470,8422,8441
2013-11-01,8460,8485,8387,8398
2013-11-04,8383,8385,8334,8353
2013-11-05,8322,8370,8276,8284
2013-11-06,8297,8298,8250,8284
2013-11-07,8304,8304,8243,8272
2013-11-08,8258,8273,8218,8231
2013-11-11,8226,8246,8188,8197
2013-11-12,8205,8241,8165,8203
2013-11-13,8195,8198,8102,8107
2013-11-14,8137,8156,8085,8125
2013-11-15,8175,8215,8148,8161
2013-11-18,8191,8222,8178,8188
2013-11-19,8230,8256,8209,8249
2013-11-20,8242,8250,8220,8221
2013-11-21,8200,8200,8086,8094
2013-11-22,8053,8129,8053,8106
2013-11-25,8143,8214,8143,8189
2013-11-26,8163,8271,8160,8243
2013-11-27,8245,8303,8245,8301
2013-11-28,8330,8385,8330,8381
2013-11-29,8368,8427,8368,8423
2013-12-02,8433,8442,8390,8418
2013-12-03,8391,8427,8388,8408
2013-12-04,8382,8444,8381,8435
2013-12-05,8434,8442,8361,8380
2013-12-06,8375,8410,8361,8386
2013-12-09,8478,8481,8440,8450
2013-12-10,8442,8451,8426,8445
2013-12-11,8452,8510,8422,8430
2013-12-12,8388,8406,8350,8392
2013-12-13,8360,8405,8352,8397
2013-12-16,8371,8385,8325,8334
2013-12-17,8381,8386,8358,8362
2013-12-18,8365,8368,8336,8346
2013-12-19,8400,8434,8383,8398
2013-12-20,8393,8432,8391,8421
2013-12-23,8447,8481,8447,8466
2013-12-24,8472,8474,8456,8463
2013-12-25,8566,8566,8470,8490
2013-12-26,8505,8505,8477,8491
2013-12-27,8498,8537,8478,8536
2013-12-30,8575,8617,8547,8610
2013-12-31,8630,8655,8605,8617
2014-01-02,8624,8633,8594,8610
2014-01-03,8586,8591,8542,8550
2014-01-06,8512,8561,8501,8513
2014-01-07,8513,8558,8513,8531
2014-01-08,8561,8599,8551,8586
2014-01-09,8562,8573,8514,8527
2014-01-10,8521,8549,8516,8541
2014-01-13,8580,8629,8566,8570
2014-01-14,8531,8559,8514,8547
2014-01-15,8580,8615,8567,8615
2014-01-16,8650,8663,8619,8624
2014-01-17,8606,8630,8590,8603
2014-01-20,8599,8630,8569,8627
2014-01-21,8639,8650,8614,8619
2014-01-22,8588,8638,8588,8638
2014-01-23,8655,8655,8598,8602
2014-01-24,8557,8618,8557,8608
2014-01-27,8568,8568,8454,8454
2014-02-05,8436,8436,8206,8253
2014-02-06,8270,8309,8266,8298
2014-02-07,8341,8396,8338,8365
2014-02-10,8400,8427,8388,8388
2014-02-11,8390,8440,8388,8440
2014-02-12,8450,8496,8438,8483
2014-02-13,8485,8494,8443,8444
2014-02-14,8495,8567,8488,8507
2014-02-17,8548,8557,8515,8528
2014-02-18,8522,8564,8506,8563
2014-02-19,8542,8558,8533,8555
2014-02-20,8551,8561,8504,8506
2014-02-21,8555,8608,8555,8599
2014-02-24,8600,8614,8545,8563
2014-02-25,8601,8606,8573,8582
2014-02-26,8566,8629,8561,8612
2014-02-27,8612,8641,8611,8636
2014-03-03,8619,8619,8543,8593
2014-03-04,8593,8604,8560,8567
2014-03-05,8649,8649,8592,8632
2014-03-06,8632,8713,8632,8707
2014-03-07,8721,8780,8692,8712
2014-03-10,8670,8704,8665,8683
2014-03-11,8683,8724,8683,8710
2014-03-12,8680,8680,8645,8659
2014-03-13,8689,8756,8688,8743
2014-03-14,8683,8701,8670,8694
2014-03-17,8698,8715,8655,8700
2014-03-18,8750,8752,8713,8728
2014-03-19,8732,8734,8681,8682
2014-03-20,8640,8640,8578,8583
2014-03-21,8583,8621,8574,8585
2014-03-24,8585,8609,8526,8608
2014-03-25,8608,8681,8581,8678
2014-03-26,8749,8749,8698,8723
2014-03-27,8710,8772,8710,8770
2014-03-28,8761,8795,8751,8762
2014-03-31,8800,8827,8765,8823
2014-04-01,8823,8862,8811,8857
2014-04-02,8876,8901,8873,8878
2014-04-03,8888,8897,8873,8890
2014-04-07,8813,8874,8813,8872
2014-04-08,8865,8900,8855,8892
2014-04-09,8889,8903,8878,8896
2014-04-10,8925,8938,8865,8908
2014-04-11,8850,8892,8840,8870
2014-04-14,8860,8885,8853,8858
2014-04-15,8869,8902,8860,8897
2014-04-16,8916,8941,8889,8906
2014-04-17,8993,8993,8916,8936
2014-04-18,8991,9003,8950,8955
2014-04-21,8954,8963,8942,8958
2014-04-22,8957,8990,8957,8978
2014-04-23,9010,9011,8945,8950
2014-04-24,8950,8968,8937,8950
2014-04-25,8915,8951,8764,8772
2014-04-28,8755,8842,8711,8829
2014-04-29,8858,8876,8831,8865
2014-04-30,8873,8873,8774,8778
2014-05-02,8778,8869,8778,8867
2014-05-05,8867,8911,8840,8867
2014-05-06,8866,8921,8855,8918
2014-05-07,8888,8888,8850,8876
2014-05-08,8896,8923,8873,8917
2014-05-09,8917,8918,8879,8886
2014-05-12,8864,8892,8821,8843
2014-05-13,8860,8884,8818,8825
2014-05-14,8851,8886,8830,8885
2014-05-15,8868,8887,8857,8877
2014-05-16,8841,8883,8816,8879
2014-05-19,8878,8901,8870,8888
2014-05-20,8901,8926,8890,8896
2014-05-21,8892,8904,8849,8858
2014-05-22,8893,8976,8871,8976
2014-05-23,8978,9013,8978,9012
2014-05-26,9054,9054,9013,9045
2014-05-27,9050,9063,9038,9063
2014-05-28,9068,9131,9063,9125
2014-05-29,9125,9152,9107,9107
2014-05-30,9121,9130,9083,9085
2014-06-03,9119,9126,9073,9116
2014-06-04,9115,9125,9109,9109
2014-06-05,9103,9138,9092,9133
2014-06-06,9156,9170,9132,9134
2014-06-09,9146,9166,9145,9157
2014-06-10,9161,9211,9161,9201
2014-06-11,9193,9212,9182,9210
2014-06-12,9194,9215,9181,9203
2014-06-13,9172,9198,9156,9198
2014-06-16,9182,9214,9177,9202
2014-06-17,9207,9248,9203,9243
2014-06-18,9248,9285,9207,9263
2014-06-19,9279,9315,9276,9306
2014-06-20,9306,9319,9270,9270
2014-06-23,9260,9293,9237,9247
2014-06-24,9231,9272,9231,9250
2014-06-25,9221,9250,9206,9222
2014-06-26,9228,9305,9228,9301
2014-06-27,9311,9314,9284,9284
2014-06-30,9316,9372,9298,9364
2014-07-01,9364,9461,9364,9439
2014-07-02,9443,9519,9386,9457
2014-07-03,9445,9508,9424,9504
2014-07-04,9519,9548,9466,9504
2014-07-07,9503,9511,9450,9511
2014-07-08,9501,9534,9497,9523
2014-07-09,9451,9477,9436,9464
2014-07-10,9468,9555,9463,9554
2014-07-11,9538,9566,9451,9488
2014-07-14,9480,9529,9477,9525
2014-07-15,9575,9581,9535,9561
2014-07-16,9538,9551,9460,9485
2014-07-17,9455,9477,9384,9418
2014-07-18,9303,9422,9303,9395
2014-07-21,9455,9466,9425,9434
2014-07-22,9450,9494,9424,9489
2014-07-24,9528,9528,9480,9518
2014-07-25,9525,9525,9407,9444
2014-07-28,9407,9463,9389,9442
2014-07-29,9466,9479,9384,9394
2014-07-30,9399,9436,9397,9428
2014-07-31,9438,9453,9300,9312
2014-08-01,9249,9286,9232,9276
2014-08-04,9279,9329,9261,9322
2014-08-05,9316,9316,9141,9150
2014-08-06,9109,9150,9075,9121
2014-08-07,9132,9155,9097,9115
2014-08-08,9076,9098,9018,9098
2014-08-11,9160,9172,9118,9154
2014-08-12,9165,9180,9125,9150
2014-08-13,9131,9203,9120,9200
2014-08-14,9230,9253,9203,9220
2014-08-15,9210,9218,9155,9202
2014-08-18,9212,9224,9126,9139
2014-08-19,9162,9249,9161,9239
2014-08-20,9266,9280,9244,9275
2014-08-21,9277,9277,9228,9249
2014-08-22,9250,9385,9250,9374
2014-08-25,9380,9399,9369,9395
2014-08-26,9393,9408,9381,9392
2014-08-27,9447,9485,9442,9474
2014-08-28,9489,9500,9468,9477
2014-08-29,9469,9478,9431,9464
2014-09-01,9454,9537,9454,9516
2014-09-02,9503,9503,9396,9416
2014-09-03,9430,9472,9417,9449
2014-09-04,9457,9457,9382,9423
2014-09-05,9426,9455,9374,9401
2014-09-09,9436,9518,9417,9417
2014-09-10,9382,9402,9311,9347
2014-09-11,9375,9385,9300,9302
2014-09-12,9326,9329,9229,9246
2014-09-15,9204,9243,9172,9220
2014-09-16,9219,9233,9141,9153
2014-09-17,9165,9249,9165,9222
2014-09-18,9218,9255,9203,9232
2014-09-19,9280,9296,9233,9253
2014-09-22,9198,9198,9106,9131
2014-09-23,9136,9148,9097,9102
2014-09-24,9098,9137,9081,9124
2014-09-25,9150,9161,9000,9022
2014-09-26,8951,9007,8942,8980
2014-09-29,8999,9004,8943,8970
2014-09-30,8959,9005,8876,8970
2014-10-01,8962,9000,8916,8977
2014-10-02,8903,9008,8903,8989
2014-10-03,8986,9108,8986,9098
2014-10-06,9125,9125,9063,9090
2014-10-07,9054,9054,8988,9033
2014-10-08,8985,9029,8929,8935
2014-10-09,8995,9038,8950,8980
2014-10-13,8802,8817,8712,8713
2014-10-14,8730,8759,8702,8745
2014-10-15,8728,8740,8655,8665
2014-10-16,8580,8686,8517,8629
2014-10-17,8651,8677,8505,8505
2014-10-20,8586,8685,8586,8667
2014-10-21,8667,8670,8626,8645
2014-10-22,8745,8765,8724,8748
2014-10-23,8724,8742,8710,8729
2014-10-24,8761,8761,8622,8649
2014-10-27,8673,8695,8609,8642
2014-10-28,8643,8792,8643,8782
2014-10-29,8868,8902,8816,8883
2014-10-30,8871,8892,8844,8882
2014-10-31,8907,8985,8881,8985
2014-11-03,8981,9030,8950,8984
2014-11-04,8983,9058,8983,9000
2014-11-05,9041,9041,8969,8987
2014-11-06,8984,9005,8888,8897
2014-11-07,8920,8935,8866,8928
2014-11-10,8960,9072,8960,9060
2014-11-11,9084,9090,9037,9048
2014-11-12,9030,9034,8900,8903
2014-11-13,8922,8978,8902,8961
2014-11-14,8980,8996,8933,8961
2014-11-17,8955,9043,8872,8901
2014-11-18,8950,8959,8838,8875
2014-11-19,8881,8988,8881,8972
2014-11-20,9024,9088,9005,9079
2014-11-21,9115,9117,9075,9098
2014-11-24,9130,9159,9113,9130
2014-11-25,9128,9151,9075,9113
2014-11-26,9114,9143,9100,9126
2014-11-27,9127,9226,9127,9174
2014-11-28,9182,9201,9172,9181
2014-12-01,9013,9177,9002,9119
2014-12-02,9080,9099,9012,9040
2014-12-03,9060,9200,9045,9200
2014-12-04,9217,9261,9201,9223
2014-12-05,9182,9233,9182,9217
2014-12-08,9262,9263,9178,9191
2014-12-09,9131,9175,9131,9135
